产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Baker boy cap,0644977007,£15,£0,Black magic,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will) with a faux leather bill. This look is more than newsworthy.']","['https://lp.monki.com/app002prod?set=source[02_0644977_007_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",22,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-black.0644977007.html"
Baker boy cap,0644977006,£15,£0,Checked to perfection,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will) that&rsquo;s checked to perfection. This look is beyond newsworthy.', 'Better Cotton Initiative', 'Thanks for supporting responsibly grown cotton, together with Monki.', 'Read more about our partnership <a href=""http:\\/\\/bettercotton.org\\/"">here<\\/a>.']","['https://lp.monki.com/app002prod?set=source[02_0644977_006_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]']",22,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-white.0644977006.html"
Knitted headband,0579151004,£6,£0,Grey skies,['ONESIZE'],['Not a hat person? No problem! Keep your ears warm and comfy with a knitted headband instead. This grey bandeau is both pretty and practical &ndash; just the way we like it.'],"['https://lp.monki.com/app002prod?set=source[02_0579151_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",31,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-headband-silver.0579151004.html"
Baker boy cap,0680200001,£15,£0,Black magic,['ONESIZE'],"[""A black baker boy cap featuring an elastic back and a suede feel. Let's channel that inner boss, shall we!""]","['https://lp.monki.com/app002prod?set=source[02_0680200_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",27,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-black.0680200001.html"
Pom pom beanie,0673415001,£6,£0,Black magic,['ONESIZE'],['A classic fold-up beanie (or ball hat if you will) with a pom pom detail for those days when you want to stay warm (but still look cool). Black shade.'],"['https://lp.monki.com/app002prod?set=source[02_0673415_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",25,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.pom-pom-beanie-black.0673415001.html"
Sparkle beanie,0520335003,£8,£0,northern lights lilac,['ONESIZE'],"[""The classic style updated with some disco lovin'. The sparkly lurex weave means you'll be a beanie babe all year round.  colour: northern lights lilac""]","['https://lp.monki.com/app002prod?set=source[02_0520335_003_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]']",30,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.sparkle-beanie-purple.0520335003.html"
Baker boy cap,0644977004,£5,£0,Blue denim,['ONESIZE'],"['Extra, Extra! Get that retro wibe with this timeless newsboy cap or baker boy hat (call it what you will) in denim. This look is more than newsworthy.']","['https://lp.monki.com/app002prod?set=source[02_0644977_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_004_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",22,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-blue.0644977004.html"
Baker boy cap,0644977003,£15,£0,Dusty pink,['ONESIZE'],"[""An adjustable corduroy baker boy hat &ndash; or newsboy cap if you will &ndash;featuring a dusty pink shade and that ultimate retro feel. You're welcome!""]","['https://lp.monki.com/app002prod?set=source[02_0644977_003_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0644977_003_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",22,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baker-boy-cap-pink.0644977003.html"
Baseball hat,0551955004,£3,£0,Wondrous white,['ONESIZE'],['A baseball hat with a online exclusive statement in the front and an adjustable strap in back. Boom.'],"['https://lp.monki.com/app002prod?set=source[02_0551955_004_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1.0]&call=url[file:/product/main]']",42,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-white.0551955004.html"
Classic beanie,0499148010,£6,£0,Veronica ultra purple,['ONESIZE'],['Snag some skater\\/snowboarder attitude with this classic beanie. Thick and stretchy ribbed fabric.'],"['https://lp.monki.com/app002prod?set=source[02_0499148_010_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]']",38,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-purple.0499148010.html"
Baseball hat,0551955001,£4,£0,Cherries on top,['ONESIZE'],['A baseball hat with cherries in the front and an adjustable strap in back. Boom.'],"['https://lp.monki.com/app002prod?set=source[02_0551955_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]']",42,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-blue.0551955001.html"
Baseball hat,0551955021,£8,£0,Boss lady,['ONESIZE'],"['A baseball hat with a statement in the side and an adjustable strap in back. Boom.', 'This style is online exclusive.']","['https://lp.monki.com/app002prod?set=source[01_0551955_021_101],type[ECOMLOOK],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[02_0551955_021_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[3]&call=url[file:/product/main]']",42,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-red.0551955021.html"
Baseball hat,0551955002,£8,£0,Pink rainbow,['ONESIZE'],['A baseball hat with a rainbow in the front and an adjustable strap in back. Boom.'],"['https://lp.monki.com/app002prod?set=source[02_0551955_002_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]']",42,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-pink.0551955002.html"
Soft ribbed beanie,0538135008,£8,£0,Sports car red,['ONESIZE'],['A classic ribbed fold-up beanie for those days when you want to stay warm (but still look cool). Your ears will thank you. Red shade.'],"['https://lp.monki.com/app002prod?set=source[02_0538135_008_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0538135_008_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",36,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.soft-ribbed-beanie-red.0538135008.html"
Super-soft knitted beanie,0628416005,£8,£0,Grey rocks,['ONESIZE'],['A super-soft ribbed fold-up beanie for those days when you want to stay warm (but still look cool). Your ears will thank you. Grey shade.'],"['https://lp.monki.com/app002prod?set=source[02_0628416_005_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",21,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-grey.0628416005.html"
Classic beanie,0499148007,£2,£0,Keep it real,['ONESIZE'],['Snag some skater\\/snowboarder attitude with this classic beanie. Thick and stretchy ribbed fabric.'],"['https://lp.monki.com/app002prod?set=source[02_0499148_007_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]']",38,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-black.0499148007.html"
Embroidered Vans beanie,0689286001,£25,£0,Off the wall,['ONESIZE'],['A classic ribbed Vans fold-up beanie with an off the wall embroidery. Perfect for those days when you want to stay warm (but still look cool). Say no more.'],"['https://lp.monki.com/app002prod?set=source[02_0689286_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",49,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.embroidered-vans-beanie-black.0689286001.html"
Baseball hat with bow,0597841001,£15,£0,Striped to perfection,['ONESIZE'],"[""A baseball hat with an adjustable bow in the back, striped to perfection. Make a bow and you're good to go &lt;3""]","['https://lp.monki.com/app002prod?set=source[02_0597841_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[1]&call=url[file:/product/main]']",48,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.baseball-hat-with-bow-black.0597841001.html"
Knitted beanie,0628416001,£8,£0,Black magic,['ONESIZE'],['Put a hat on! Keep that amazing brain of yours warm with this knitted beanie. This hat is proof that black is the new black.'],"['https://lp.monki.com/app002prod?set=source[02_0628416_001_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",21,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-black.0628416001.html"
Peek-a-boo beanie,0499152001,£6,£0,Black magic,['ONESIZE'],"[""Feelin' cold? This beanie says it all for you. With a super soft blend feel and statement eye embroidery.""]","['https://lp.monki.com/app002prod?set=source[02_0499152_001_001],type[PRODUCT],device[hdpi],quality[80],ImageVersion[null]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0499152_001_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",18,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.peek-a-boo-beanie-black.0499152001.html"
Classic beanie,0551954005,£6,£0,Cobblestone grey,['ONESIZE'],['A classic fold-up beanie for those days when you want to stay warm (but still look cool). Also the perfect cover up for bad hair days.'],"['https://lp.monki.com/app002prod?set=source[02_0551954_005_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",14,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.classic-beanie-grey.0551954005.html"
Knitted beanie,0628416003,£8,£0,Rusty orange,['ONESIZE'],['Put a hat on! Keep that amazing brain of yours warm with this knitted beanie. Orange colour for extra heat.'],"['https://lp.monki.com/app002prod?set=source[02_0628416_003_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0628416_003_990],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]', 'https://lp.monki.com/app002prod?set=source[03_0628416_003_991],type[DETAIL],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",21,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-orange.0628416003.html"
Super-soft knitted beanie,0628416004,£8,£0,Black magic,['ONESIZE'],['A super-soft ribbed fold-up beanie for those days when you want to stay warm (but still look cool). Your ears will thank you. Black shade.'],"['https://lp.monki.com/app002prod?set=source[02_0628416_004_101],type[PRODUCT],device[hdpi],quality[80],ImageVersion[2018081]&call=url[file:/product/main]']",21,all,1,"https://www.monki.com/en_gbp/accessories/hats,-scarves-gloves/product.knitted-beanie-black.0628416004.html"
