产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
SHOCKER HAT,HO8196008|BRN|ONE,$17.99,$26.00,BROWN,['ONE SIZE'],"['O-Neill Men-s Flexfit® snapback hat', 'Structured, mid profile design', 'Front logo embroidery and rear flag label', '100% Cotton']","['https://cdn.shopify.com/s/files/1/2034/7683/products/shocker_HO8196008_brn_f_6b83dcfc-d067-4105-8653-1b154056b123.jpg?v=1537291015', 'https://cdn.shopify.com/s/files/1/2034/7683/products/shocker_HO8196008_brn_b.jpg?v=1537831003']",24,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196008-brn-shocker
CAMPFIRE HAT,SP9196004|ARM|ONE,$30.00,$0,ARMY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Light, cotton slub design', 'Front canvas patch label', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/campfire_SP9196004_arm_f_5c245459-8fbf-4432-bfbe-59fc8d23d7c2.jpg?v=1545169556'],25,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196004-arm-campfire
BAR 107 HAT,HO8196004|HGR|ONE,$20.99,$30.00,HEATHER GREY,['ONE SIZE'],"['O-Neill Men-s New Era 6 panel structured hat', 'Snap back design', 'Direct embroidery logo', 'Rear flag label', '85% Acrylic, 15% Wool']","['https://cdn.shopify.com/s/files/1/2034/7683/products/bar107_HO8196004_hgr_f_b8979471-72d8-4d61-b3b9-ed1617250e20.jpg?v=1537291006', 'https://cdn.shopify.com/s/files/1/2034/7683/products/bar107_HO8196004_hgr_b.jpg?v=1537806407']",26,mens,1,https://us.oneill.com/collections/mens-hats/products/ho8196004-hgr-bar-107
HYBRID HAT,SP8196015|MID|S/M,$22.99,$35.00,MIDNIGHT,"['S/M', 'L/XL']","['O-Neill Men-s hat', 'Flexfit® X fit', 'Flat logo embroidery', 'Rear embroidery', '98% Cotton / 2% Elastane']","['https://cdn.shopify.com/s/files/1/2034/7683/products/hybridhat_SP8196015_mid_f_03fa0053-657d-4bad-a9e7-5fb1022cee2a.jpg?v=1539046273', 'https://cdn.shopify.com/s/files/1/2034/7683/products/hybridhat_SP8196015_mid_b.jpg?v=1539046273']",27,mens,1,https://us.oneill.com/collections/mens-hats/products/sp8196015-mid-hybrid-hat
ENGLEWOOD HAT,SP9196018|ARM|S/M,$28.00,$0,ARMY,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit stretch hat', 'Front logo embroidery', 'Rear flag label', 'Acrylic wool design', '85% Acrylic, 15% Wool\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/englewood_SP9196018_arm_f_fd0da19d-2045-4627-8b65-4a9987438651.jpg?v=1545169587', 'https://cdn.shopify.com/s/files/1/2034/7683/products/englewood_SP9196018_arm_b.jpg?v=1545263735']",28,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196018-arm-englewood
ENGLEWOOD HAT,SP9196018|ASH|S/M,$28.00,$0,ASPHALT HEATHER,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit stretch hat', 'Front logo embroidery', 'Rear flag label', 'Acrylic wool design', '85% Acrylic, 15% Wool\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/as54c6as4c4sc.jpg?v=1545263806', 'https://cdn.shopify.com/s/files/1/2034/7683/products/englewood_SP9196018_ash_b.jpg?v=1545263806']",29,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196018-ash-englewood
MOSCOW HAT,SP9196002|GRY|ONE,$28.00,$0,GREY,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Lo-profile, 6 panel design', 'Structured wool feel', 'Woven front label, rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/moscow_SP9196002_gry_f_c1f82c35-cd0c-4c26-9824-a24d1caa9554.jpg?v=1545169549'],30,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196002-gry-moscow
ALOHA HAWAII HAT,SP9196010|BLK|ONE,$26.00,$0,BLACK,['ONE SIZE'],"['O-Neill Men-s snapback hat', 'Mid-profile, 6 panel design', 'Structured wool design', 'Front 3D logo embroidery on label', 'Rear flag label', '85% Acrylic, 15% Wool\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/alohahawaii_SP9196010_blk_f_2aadfdd8-9d5f-42d8-a8ae-4c26d456616a.jpg?v=1545169564'],31,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196010-blk-aloha-hawaii
CLEAN & MEAN HAT,SP9196003|SLT|S/M,$26.00,$0,SLATE,"['S/M', 'L/XL']","['O-Neill Men-s Flexfit hat', 'Structured, 6 panel design', '3D front logo embroidery', 'Rear word mark embroidery', '98% Cotton, 2% Elastane\n']","['https://cdn.shopify.com/s/files/1/2034/7683/products/cleanandmean_SP9196003_slt_f_7402ff2e-93a3-4987-8209-3692da6b48aa.jpg?v=1545169554', 'https://cdn.shopify.com/s/files/1/2034/7683/products/cleanandmean_SP9196003_dny_b.jpg?v=1545262307']",32,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196003-slt-clean-mean
ROCKWOOD DAD HAT,SP9196009|BUR|ONE,$26.00,$0,BURGUNDY,['ONE SIZE'],"['O-Neill Men-s Flexfit dad hat', 'Unstructured, pigment washed design', 'Snapback closure', 'Front logo art embroidery', 'Rear flag label', '100% Cotton\n']",['https://cdn.shopify.com/s/files/1/2034/7683/products/rockwooddadhat_SP9196009_bur_f_abb5b016-a7dd-4a43-8325-d9abeba5efe8.jpg?v=1545169563'],33,mens,1,https://us.oneill.com/collections/mens-hats/products/sp9196009-bur-rockwood-dad-hat
